Id;Segment;Country;Product;DiscountBand;UnitsSold;ManufacturingPrice;SalePrice;GrossSales;Discounts;Sales;COGS;Profit;Date;MonthNumber;MonthName;Year
1;Government;Canada;Carretera;None;1618.5;3.0;20.0;32370.0;0.0;32370.0;16185.0;16185.0;2014-01-01;1.0;January;2014.0
2;Government;Germany;Carretera;None;1321.0;3.0;20.0;26420.0;0.0;26420.0;13210.0;13210.0;2014-01-01;1.0;January;2014.0
3;Midmarket;France;Carretera;None;2178.0;3.0;15.0;32670.0;0.0;32670.0;21780.0;10890.0;2014-06-01;6.0;June;2014.0
4;Midmarket;Germany;Carretera;None;888.0;3.0;15.0;13320.0;0.0;13320.0;8880.0;4440.0;2014-06-01;6.0;June;2014.0
5;Midmarket;Mexico;Carretera;None;2470.0;3.0;15.0;37050.0;0.0;37050.0;24700.0;12350.0;2014-06-01;6.0;June;2014.0
6;Government;Germany;Carretera;None;1513.0;3.0;350.0;529550.0;0.0;529550.0;393380.0;136170.0;2014-12-01;12.0;December;2014.0
7;Midmarket;Germany;Montana;None;921.0;5.0;15.0;13815.0;0.0;13815.0;9210.0;4605.0;2014-03-01;3.0;March;2014.0
8;Channel Partners;Canada;Montana;None;2518.0;5.0;12.0;30216.0;0.0;30216.0;7554.0;22662.0;2014-06-01;6.0;June;2014.0
9;Government;France;Montana;None;1899.0;5.0;20.0;37980.0;0.0;37980.0;18990.0;18990.0;2014-06-01;6.0;June;2014.0
10;Channel Partners;Germany;Montana;None;1545.0;5.0;12.0;18540.0;0.0;18540.0;4635.0;13905.0;2014-06-01;6.0;June;2014.0
11;Midmarket;Mexico;Montana;None;2470.0;5.0;15.0;37050.0;0.0;37050.0;24700.0;12350.0;2014-06-01;6.0;June;2014.0
12;Enterprise;Canada;Montana;None;2665.5;5.0;125.0;333187.5;0.0;333187.5;319860.0;13327.5;2014-07-01;7.0;July;2014.0
13;Small Business;Mexico;Montana;None;958.0;5.0;300.0;287400.0;0.0;287400.0;239500.0;47900.0;2014-08-01;8.0;August;2014.0
14;Government;Germany;Montana;None;2146.0;5.0;7.0;15022.0;0.0;15022.0;10730.0;4292.0;2014-09-01;9.0;September;2014.0
15;Enterprise;Canada;Montana;None;345.0;5.0;125.0;43125.0;0.0;43125.0;41400.0;1725.0;2013-10-01;10.0;October;2013.0
16;Midmarket;United States of America;Montana;None;615.0;5.0;15.0;9225.0;0.0;9225.0;6150.0;3075.0;2014-12-01;12.0;December;2014.0
17;Government;Canada;Paseo;None;292.0;10.0;20.0;5840.0;0.0;5840.0;2920.0;2920.0;2014-02-01;2.0;February;2014.0
18;Midmarket;Mexico;Paseo;None;974.0;10.0;15.0;14610.0;0.0;14610.0;9740.0;4870.0;2014-02-01;2.0;February;2014.0
19;Channel Partners;Canada;Paseo;None;2518.0;10.0;12.0;30216.0;0.0;30216.0;7554.0;22662.0;2014-06-01;6.0;June;2014.0
20;Government;Germany;Paseo;None;1006.0;10.0;350.0;352100.0;0.0;352100.0;261560.0;90540.0;2014-06-01;6.0;June;2014.0
21;Channel Partners;Germany;Paseo;None;367.0;10.0;12.0;4404.0;0.0;4404.0;1101.0;3303.0;2014-07-01;7.0;July;2014.0
22;Government;Mexico;Paseo;None;883.0;10.0;7.0;6181.0;0.0;6181.0;4415.0;1766.0;2014-08-01;8.0;August;2014.0
23;Midmarket;France;Paseo;None;549.0;10.0;15.0;8235.0;0.0;8235.0;5490.0;2745.0;2013-09-01;9.0;September;2013.0
24;Small Business;Mexico;Paseo;None;788.0;10.0;300.0;236400.0;0.0;236400.0;197000.0;39400.0;2013-09-01;9.0;September;2013.0
25;Midmarket;Mexico;Paseo;None;2472.0;10.0;15.0;37080.0;0.0;37080.0;24720.0;12360.0;2014-09-01;9.0;September;2014.0
26;Government;United States of America;Paseo;None;1143.0;10.0;7.0;8001.0;0.0;8001.0;5715.0;2286.0;2014-10-01;10.0;October;2014.0
27;Government;Canada;Paseo;None;1725.0;10.0;350.0;603750.0;0.0;603750.0;448500.0;155250.0;2013-11-01;11.0;November;2013.0
28;Channel Partners;United States of America;Paseo;None;912.0;10.0;12.0;10944.0;0.0;10944.0;2736.0;8208.0;2013-11-01;11.0;November;2013.0
29;Midmarket;Canada;Paseo;None;2152.0;10.0;15.0;32280.0;0.0;32280.0;21520.0;10760.0;2013-12-01;12.0;December;2013.0
30;Government;Canada;Paseo;None;1817.0;10.0;20.0;36340.0;0.0;36340.0;18170.0;18170.0;2014-12-01;12.0;December;2014.0
31;Government;Germany;Paseo;None;1513.0;10.0;350.0;529550.0;0.0;529550.0;393380.0;136170.0;2014-12-01;12.0;December;2014.0
32;Government;Mexico;Velo;None;1493.0;120.0;7.0;10451.0;0.0;10451.0;7465.0;2986.0;2014-01-01;1.0;January;2014.0
33;Enterprise;France;Velo;None;1804.0;120.0;125.0;225500.0;0.0;225500.0;216480.0;9020.0;2014-02-01;2.0;February;2014.0
34;Channel Partners;Germany;Velo;None;2161.0;120.0;12.0;25932.0;0.0;25932.0;6483.0;19449.0;2014-03-01;3.0;March;2014.0
35;Government;Germany;Velo;None;1006.0;120.0;350.0;352100.0;0.0;352100.0;261560.0;90540.0;2014-06-01;6.0;June;2014.0
36;Channel Partners;Germany;Velo;None;1545.0;120.0;12.0;18540.0;0.0;18540.0;4635.0;13905.0;2014-06-01;6.0;June;2014.0
37;Enterprise;United States of America;Velo;None;2821.0;120.0;125.0;352625.0;0.0;352625.0;338520.0;14105.0;2014-08-01;8.0;August;2014.0
38;Enterprise;Canada;Velo;None;345.0;120.0;125.0;43125.0;0.0;43125.0;41400.0;1725.0;2013-10-01;10.0;October;2013.0
39;Small Business;Canada;VTT;None;2001.0;250.0;300.0;600300.0;0.0;600300.0;500250.0;100050.0;2014-02-01;2.0;February;2014.0
40;Channel Partners;Germany;VTT;None;2838.0;250.0;12.0;34056.0;0.0;34056.0;8514.0;25542.0;2014-04-01;4.0;April;2014.0
41;Midmarket;France;VTT;None;2178.0;250.0;15.0;32670.0;0.0;32670.0;21780.0;10890.0;2014-06-01;6.0;June;2014.0
42;Midmarket;Germany;VTT;None;888.0;250.0;15.0;13320.0;0.0;13320.0;8880.0;4440.0;2014-06-01;6.0;June;2014.0
43;Government;France;VTT;None;1527.0;250.0;350.0;534450.0;0.0;534450.0;397020.0;137430.0;2013-09-01;9.0;September;2013.0
44;Small Business;France;VTT;None;2151.0;250.0;300.0;645300.0;0.0;645300.0;537750.0;107550.0;2014-09-01;9.0;September;2014.0
45;Government;Canada;VTT;None;1817.0;250.0;20.0;36340.0;0.0;36340.0;18170.0;18170.0;2014-12-01;12.0;December;2014.0
46;Government;France;Amarilla;None;2750.0;260.0;350.0;962500.0;0.0;962500.0;715000.0;247500.0;2014-02-01;2.0;February;2014.0
47;Channel Partners;United States of America;Amarilla;None;1953.0;260.0;12.0;23436.0;0.0;23436.0;5859.0;17577.0;2014-04-01;4.0;April;2014.0
48;Enterprise;Germany;Amarilla;None;4219.5;260.0;125.0;527437.5;0.0;527437.5;506340.0;21097.5;2014-04-01;4.0;April;2014.0
49;Government;France;Amarilla;None;1899.0;260.0;20.0;37980.0;0.0;37980.0;18990.0;18990.0;2014-06-01;6.0;June;2014.0
50;Government;Germany;Amarilla;None;1686.0;260.0;7.0;11802.0;0.0;11802.0;8430.0;3372.0;2014-07-01;7.0;July;2014.0
51;Channel Partners;United States of America;Amarilla;None;2141.0;260.0;12.0;25692.0;0.0;25692.0;6423.0;19269.0;2014-08-01;8.0;August;2014.0
52;Government;United States of America;Amarilla;None;1143.0;260.0;7.0;8001.0;0.0;8001.0;5715.0;2286.0;2014-10-01;10.0;October;2014.0
53;Midmarket;United States of America;Amarilla;None;615.0;260.0;15.0;9225.0;0.0;9225.0;6150.0;3075.0;2014-12-01;12.0;December;2014.0
54;Government;France;Paseo;Low;3945.0;10.0;7.0;27615.0;276.15;27338.85;19725.0;7613.850000000002;2014-01-01;1.0;January;2014.0
55;Midmarket;France;Paseo;Low;2296.0;10.0;15.0;34440.0;344.4;34095.6;22960.0;11135.6;2014-02-01;2.0;February;2014.0
56;Government;France;Paseo;Low;1030.0;10.0;7.0;7210.0;72.1;7137.9;5150.0;1987.9;2014-05-01;5.0;May;2014.0
57;Government;France;Velo;Low;639.0;120.0;7.0;4473.0;44.73;4428.27;3195.0;1233.2700000000004;2014-11-01;11.0;November;2014.0
58;Government;Canada;VTT;Low;1326.0;250.0;7.0;9282.0;92.82;9189.18;6630.0;2559.1800000000007;2014-03-01;3.0;March;2014.0
59;Channel Partners;United States of America;Carretera;Low;1858.0;3.0;12.0;22296.0;222.96;22073.04;5574.0;16499.04;2014-02-01;2.0;February;2014.0
60;Government;Mexico;Carretera;Low;1210.0;3.0;350.0;423500.0;4235.0;419265.0;314600.0;104665.0;2014-03-01;3.0;March;2014.0
61;Government;United States of America;Carretera;Low;2529.0;3.0;7.0;17703.0;177.03;17525.97;12645.0;4880.969999999998;2014-07-01;7.0;July;2014.0
62;Channel Partners;Canada;Carretera;Low;1445.0;3.0;12.0;17340.0;173.4;17166.6;4335.0;12831.6;2014-09-01;9.0;September;2014.0
63;Enterprise;United States of America;Carretera;Low;330.0;3.0;125.0;41250.0;412.5;40837.5;39600.0;1237.5;2013-09-01;9.0;September;2013.0
64;Channel Partners;France;Carretera;Low;2671.0;3.0;12.0;32052.0;320.52;31731.48;8013.0;23718.48;2014-09-01;9.0;September;2014.0
65;Channel Partners;Germany;Carretera;Low;766.0;3.0;12.0;9192.0;91.92;9100.08;2298.0;6802.08;2013-10-01;10.0;October;2013.0
66;Small Business;Mexico;Carretera;Low;494.0;3.0;300.0;148200.0;1482.0;146718.0;123500.0;23218.0;2013-10-01;10.0;October;2013.0
67;Government;Mexico;Carretera;Low;1397.0;3.0;350.0;488950.0;4889.5;484060.5;363220.0;120840.5;2014-10-01;10.0;October;2014.0
68;Government;France;Carretera;Low;2155.0;3.0;350.0;754250.0;7542.5;746707.5;560300.0;186407.5;2014-12-01;12.0;December;2014.0
69;Midmarket;Mexico;Montana;Low;2214.0;5.0;15.0;33210.0;332.1;32877.9;22140.0;10737.9;2014-03-01;3.0;March;2014.0
70;Small Business;United States of America;Montana;Low;2301.0;5.0;300.0;690300.0;6903.0;683397.0;575250.0;108147.0;2014-04-01;4.0;April;2014.0
71;Government;France;Montana;Low;1375.5;5.0;20.0;27510.0;275.1;27234.9;13755.0;13479.899999999998;2014-07-01;7.0;July;2014.0
72;Government;Canada;Montana;Low;1830.0;5.0;7.0;12810.0;128.1;12681.9;9150.0;3531.9;2014-08-01;8.0;August;2014.0
73;Small Business;United States of America;Montana;Low;2498.0;5.0;300.0;749400.0;7494.0;741906.0;624500.0;117406.0;2013-09-01;9.0;September;2013.0
74;Enterprise;United States of America;Montana;Low;663.0;5.0;125.0;82875.0;828.75;82046.25;79560.0;2486.25;2013-10-01;10.0;October;2013.0
75;Midmarket;United States of America;Paseo;Low;1514.0;10.0;15.0;22710.0;227.1;22482.9;15140.0;7342.900000000002;2014-02-01;2.0;February;2014.0
76;Government;United States of America;Paseo;Low;4492.5;10.0;7.0;31447.5;314.475;31133.025;22462.5;8670.524999999998;2014-04-01;4.0;April;2014.0
77;Enterprise;United States of America;Paseo;Low;727.0;10.0;125.0;90875.0;908.75;89966.25;87240.0;2726.25;2014-06-01;6.0;June;2014.0
78;Enterprise;France;Paseo;Low;787.0;10.0;125.0;98375.0;983.75;97391.25;94440.0;2951.25;2014-06-01;6.0;June;2014.0
79;Enterprise;Mexico;Paseo;Low;1823.0;10.0;125.0;227875.0;2278.75;225596.25;218760.0;6836.25;2014-07-01;7.0;July;2014.0
80;Midmarket;Germany;Paseo;Low;747.0;10.0;15.0;11205.0;112.05;11092.95;7470.0;3622.950000000001;2014-09-01;9.0;September;2014.0
81;Channel Partners;Germany;Paseo;Low;766.0;10.0;12.0;9192.0;91.92;9100.08;2298.0;6802.08;2013-10-01;10.0;October;2013.0
82;Small Business;United States of America;Paseo;Low;2905.0;10.0;300.0;871500.0;8715.0;862785.0;726250.0;136535.0;2014-11-01;11.0;November;2014.0
83;Government;France;Paseo;Low;2155.0;10.0;350.0;754250.0;7542.5;746707.5;560300.0;186407.5;2014-12-01;12.0;December;2014.0
84;Government;France;Velo;Low;3864.0;120.0;20.0;77280.0;772.8000000000003;76507.20000000001;38640.0;37867.2;2014-04-01;4.0;April;2014.0
85;Government;Mexico;Velo;Low;362.0;120.0;7.0;2534.0;25.34;2508.66;1810.0;698.6599999999999;2014-05-01;5.0;May;2014.0
86;Enterprise;Canada;Velo;Low;923.0;120.0;125.0;115375.0;1153.75;114221.25;110760.0;3461.25;2014-08-01;8.0;August;2014.0
87;Enterprise;United States of America;Velo;Low;663.0;120.0;125.0;82875.0;828.75;82046.25;79560.0;2486.25;2013-10-01;10.0;October;2013.0
88;Government;Canada;Velo;Low;2092.0;120.0;7.0;14644.0;146.44;14497.56;10460.0;4037.56;2013-11-01;11.0;November;2013.0
89;Government;Germany;VTT;Low;263.0;250.0;7.0;1841.0;18.41;1822.59;1315.0;507.5899999999999;2014-03-01;3.0;March;2014.0
90;Government;Canada;VTT;Low;943.5;250.0;350.0;330225.0;3302.25;326922.75;245310.0;81612.75;2014-04-01;4.0;April;2014.0
91;Enterprise;United States of America;VTT;Low;727.0;250.0;125.0;90875.0;908.75;89966.25;87240.0;2726.25;2014-06-01;6.0;June;2014.0
92;Enterprise;France;VTT;Low;787.0;250.0;125.0;98375.0;983.75;97391.25;94440.0;2951.25;2014-06-01;6.0;June;2014.0
93;Small Business;Germany;VTT;Low;986.0;250.0;300.0;295800.0;2958.0;292842.0;246500.0;46342.0;2014-09-01;9.0;September;2014.0
94;Small Business;Mexico;VTT;Low;494.0;250.0;300.0;148200.0;1482.0;146718.0;123500.0;23218.0;2013-10-01;10.0;October;2013.0
95;Government;Mexico;VTT;Low;1397.0;250.0;350.0;488950.0;4889.5;484060.5;363220.0;120840.5;2014-10-01;10.0;October;2014.0
96;Enterprise;France;VTT;Low;1744.0;250.0;125.0;218000.0;2180.0;215820.0;209280.0;6540.0;2014-11-01;11.0;November;2014.0
97;Channel Partners;United States of America;Amarilla;Low;1989.0;260.0;12.0;23868.0;238.68;23629.32;5967.0;17662.32;2013-09-01;9.0;September;2013.0
98;Midmarket;France;Amarilla;Low;321.0;260.0;15.0;4815.0;48.15;4766.85;3210.0;1556.8500000000006;2013-11-01;11.0;November;2013.0
99;Enterprise;Canada;Carretera;Low;742.5;3.0;125.0;92812.5;1856.25;90956.25;89100.0;1856.25;2014-04-01;4.0;April;2014.0
100;Channel Partners;Canada;Carretera;Low;1295.0;3.0;12.0;15540.0;310.8;15229.2;3885.0;11344.2;2014-10-01;10.0;October;2014.0
101;Small Business;Germany;Carretera;Low;214.0;3.0;300.0;64200.0;1284.0;62916.0;53500.0;9416.0;2013-10-01;10.0;October;2013.0
102;Government;France;Carretera;Low;2145.0;3.0;7.0;15015.0;300.3;14714.7;10725.0;3989.700000000001;2013-11-01;11.0;November;2013.0
103;Government;Canada;Carretera;Low;2852.0;3.0;350.0;998200.0;19964.0;978236.0;741520.0;236716.0;2014-12-01;12.0;December;2014.0
104;Channel Partners;United States of America;Montana;Low;1142.0;5.0;12.0;13704.0;274.08;13429.92;3426.0;10003.92;2014-06-01;6.0;June;2014.0
105;Government;United States of America;Montana;Low;1566.0;5.0;20.0;31320.0;626.4;30693.6;15660.0;15033.6;2014-10-01;10.0;October;2014.0
106;Channel Partners;Mexico;Montana;Low;690.0;5.0;12.0;8280.0;165.6;8114.4;2070.0;6044.4;2014-11-01;11.0;November;2014.0
107;Enterprise;Mexico;Montana;Low;1660.0;5.0;125.0;207500.0;4150.0;203350.0;199200.0;4150.0;2013-11-01;11.0;November;2013.0
108;Midmarket;Canada;Paseo;Low;2363.0;10.0;15.0;35445.0;708.9;34736.1;23630.0;11106.1;2014-02-01;2.0;February;2014.0
109;Small Business;France;Paseo;Low;918.0;10.0;300.0;275400.0;5508.0;269892.0;229500.0;40392.0;2014-05-01;5.0;May;2014.0
110;Small Business;Germany;Paseo;Low;1728.0;10.0;300.0;518400.0;10368.0;508032.0;432000.0;76032.0;2014-05-01;5.0;May;2014.0
111;Channel Partners;United States of America;Paseo;Low;1142.0;10.0;12.0;13704.0;274.08;13429.92;3426.0;10003.92;2014-06-01;6.0;June;2014.0
112;Enterprise;Mexico;Paseo;Low;662.0;10.0;125.0;82750.0;1655.0;81095.0;79440.0;1655.0;2014-06-01;6.0;June;2014.0
113;Channel Partners;Canada;Paseo;Low;1295.0;10.0;12.0;15540.0;310.8;15229.2;3885.0;11344.2;2014-10-01;10.0;October;2014.0
114;Enterprise;Germany;Paseo;Low;809.0;10.0;125.0;101125.0;2022.5;99102.5;97080.0;2022.5;2013-10-01;10.0;October;2013.0
115;Enterprise;Mexico;Paseo;Low;2145.0;10.0;125.0;268125.0;5362.5;262762.5;257400.0;5362.5;2013-10-01;10.0;October;2013.0
116;Channel Partners;France;Paseo;Low;1785.0;10.0;12.0;21420.0;428.4;20991.6;5355.0;15636.6;2013-11-01;11.0;November;2013.0
117;Small Business;Canada;Paseo;Low;1916.0;10.0;300.0;574800.0;11496.0;563304.0;479000.0;84304.0;2014-12-01;12.0;December;2014.0
118;Government;Canada;Paseo;Low;2852.0;10.0;350.0;998200.0;19964.0;978236.0;741520.0;236716.0;2014-12-01;12.0;December;2014.0
119;Enterprise;Canada;Paseo;Low;2729.0;10.0;125.0;341125.0;6822.5;334302.5;327480.0;6822.5;2014-12-01;12.0;December;2014.0
120;Midmarket;United States of America;Paseo;Low;1925.0;10.0;15.0;28875.0;577.5;28297.5;19250.0;9047.5;2013-12-01;12.0;December;2013.0
121;Government;United States of America;Paseo;Low;2013.0;10.0;7.0;14091.0;281.82;13809.18;10065.0;3744.18;2013-12-01;12.0;December;2013.0
122;Channel Partners;France;Paseo;Low;1055.0;10.0;12.0;12660.0;253.2;12406.8;3165.0;9241.8;2014-12-01;12.0;December;2014.0
123;Channel Partners;Mexico;Paseo;Low;1084.0;10.0;12.0;13008.0;260.16;12747.84;3252.0;9495.84;2014-12-01;12.0;December;2014.0
124;Government;United States of America;Velo;Low;1566.0;120.0;20.0;31320.0;626.4;30693.6;15660.0;15033.6;2014-10-01;10.0;October;2014.0
125;Government;Germany;Velo;Low;2966.0;120.0;350.0;1038100.0;20762.0;1017338.0;771160.0;246178.0;2013-10-01;10.0;October;2013.0
126;Government;Germany;Velo;Low;2877.0;120.0;350.0;1006950.0;20139.0;986811.0;748020.0;238791.0;2014-10-01;10.0;October;2014.0
127;Enterprise;Germany;Velo;Low;809.0;120.0;125.0;101125.0;2022.5;99102.5;97080.0;2022.5;2013-10-01;10.0;October;2013.0
128;Enterprise;Mexico;Velo;Low;2145.0;120.0;125.0;268125.0;5362.5;262762.5;257400.0;5362.5;2013-10-01;10.0;October;2013.0
129;Channel Partners;France;Velo;Low;1055.0;120.0;12.0;12660.0;253.2;12406.8;3165.0;9241.8;2014-12-01;12.0;December;2014.0
